,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
40,75,88,pipe,HC0002,1750020057,2140,1750017792,1750000894,1750000894,1750006836,1750022345,1750021562,2140,1275395846000,к.75 ,62.3,1,т.вр.к75,61.8,3,159,10,1,1277582400000,Тайлаковское,-0.5,True,P,15,False,,,,,,,0.85,0.139,1E-05,15.8,75.4186046511628,15.8,444583.048496373,446115.940184712,6565790.02677035,6567157.31646399
41,78,10,pipe,HC0002,1750031012,770.4,1750026842,1750000894,1750000894,1750006836,1750022132,1750032641,770.4,1458888266000,к.78 ,79.2,1,уз.УДР-2,78.5,3,159,8,1,1433538000000,Тайлаковское,-0.700000000000003,True,P,15,False,,,,,,,0.85,0.143,1E-05,8.8,74.0705521472393,8.8,461223.258174585,461596.24436416,6568982.4019054,6568631.53798878
42,86,48,pipe,HC0002,1750026221,3231,1750023212,1750000894,1750000894,1750007301,1750031680,1750027796,3231,1412772478000,к.86 ,88.2,1,"вр. к.86,к.89",85,3,114,8,1,1363291200000,Тайлаковское,-3.2,True,P,15,False,,,,,,,0.85,0.098,1E-05,20.9,89.7651245551601,20.9,467488.991422693,464778.887869611,6575380.77024924,6575011.06837831
43,87,89,pipe,HC0002,1751043254,2208,1751036046,1750000894,1750000894,1750006835,1750022127,1751059119,2208,1548760450000,к.87 ,65.1,1,вр. к.35,68.3,3,159,8,1,1554584400000,Тайлаковское,3.2,True,P,15,False,,,,,,,0.85,0.143,1E-05,18.7,68.2106660117878,18.7,463145.4,461339.602916068,6566372.38,6566982.19619557
44,93,45,pipe,HC0002,1750035233,1790,1750030022,1750000894,1750000894,1750006836,1750043786,1750037567,1790,1484311302000,к.93 ,86.2,1,т.вр.к.93,85.2,3,159,8,1,1461704400000,Тайлаковское,-1,True,P,15,False,,,,,,,0.85,0.143,1E-05,15.8,86.4130434782609,15.8,457470.93,459070.35,6575662.16,6574695.97
45,94,62,pipe,HC0002,1750026223,2200,1750023214,1750000894,1750000894,1750007301,1750022117,1750028219,2200,1412772948000,к.94 ,83.51,1,уз.к7,83.2,3,159,8,1,1368820800000,Тайлаковское,-0.310000000000002,True,P,15,False,,,,,,,0.85,0.143,1E-05,26.7,73.88995215311,26.7,467950.050789547,465865.673515049,6571059.19914044,6571476.85638191
46,134,66,pipe,HC0002,1750038731,460,1750032562,1750000894,1750000894,1750008987,1750047219,1750043166,460,1509107519000,к.134 ,66,1,вр. к.134,65.3,3,159,8,1,1496264400000,Тайлаковское,-0.700000000000003,True,P,15,False,,,,,,,0.85,0.143,1E-05,11.6,61.8293838862559,11.6,464413.37,464783.72,6568258.65,6568419.64
47,155,43,pipe,HC0002,1750039670,703,1750033302,1750000894,1750000894,1750006835,1750022126,1750048759,703,1517225619000,к.155 ,61.86,1,"т.вр. к9, к36",63.7,3,159,8,1,1527109200000,Тайлаковское,1.84,True,P,15,False,,,,,,,0.85,0.143,1E-05,23,66.375606546591,23,460090.19,460485.17,6564486.08,6564800.79
48,,0,pipe,HC0002,1750039319,3344,1750033010,1750000894,1750000894,1750008987,1750022132,1750047219,3344,1513251832000,вр. к.134,65.3,3,уз.УДР-2,78.5,3,219,8,1,1543525200000,Тайлаковское,13.2,False,,,False,,,,,,,0.85,0.203,1E-05,,,,464783.72,461596.24436416,6568419.64,6568631.53798878
49,,0,pipe,HC0002,1750039319,3344,1750033010,1750000894,1750000894,1750008987,1750022132,1750047219,3344,1513251832000,вр. к.134,65.3,3,уз.УДР-2,78.5,3,219,8,1,1543525200000,Тайлаковское,13.2,False,,,False,,,,,,,0.85,0.203,1E-05,,,,464783.72,461596.24436416,6568419.64,6568631.53798878
50,,2,pipe,HC0005,1750033488,3397,1750019283,1750000894,1750000894,1750006836,1750022338,1750022333,3397,1474379087000,т.вр.к59,60.1,3,т.вр.к61,62.5,3,168,16,1,1282334400000,Тайлаковское,2.4,False,,,False,,,,,,,0.85,0.136,1E-05,,,,440742.41,441693.66,6574726.39,6571623.67
51,,2,pipe,HC0005,1750033488,3397,1750019283,1750000894,1750000894,1750006836,1750022338,1750022333,3397,1474379087000,т.вр.к59,60.1,3,т.вр.к61,62.5,3,168,16,1,1282334400000,Тайлаковское,2.4,False,,,False,,,,,,,0.85,0.136,1E-05,,,,440742.41,441693.66,6574726.39,6571623.67
