,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
35,,26,pipe,HC0002,1750035230,6131,1750030020,1750000610,1750000610,1750005566,1750010908,1751060240,6131,1484307942000,ЗКЛ№378,86.4,3,ДНС-1 Тайлаковского,85.7,7,325,8,1,1454446800000,сталь 13ХФА,Тайлаковское,-0.700000000000003,False,,,True,P,4.8,,,,,0.85,0.309,1E-05,False,True,,,,442683.76,441554.290674888,6552519.53,6546720.19789019
36,,28,pipe,HC0002,1750028015,984,1750016973,1750000610,1750000610,1750006714,1750010908,1750021882,984,1431519443000,вр.к.25,82.6,3,ДНС-1 Тайлаковского,85.7,7,219,10,1,1182369600000,сталь 20С,Тайлаковское,3.10000000000001,False,,,True,P,4.8,,,,,0.85,0.199,1E-05,False,True,,,,440911.85985074,441554.290674888,6546622.87575147,6546720.19789019
37,,30,pipe,HC0002,1750016539,503,1750014533,1750000610,1750000610,1750006714,1750036572,1750034327,503,1215669562000,т.вр.к.4,89.9,3,т.вр.к.14,91.2,3,219,10,1,1141160400000,сталь 20А,Тайлаковское,1.3,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,439981.722188659,440294.32245277,6551667.45188996,6551370.62550202
38,,31,pipe,HC0002,1750030694,2824,1750014533,1750000610,1750000610,1750006714,1750018377,1750036572,2824,1438755801000,т.вр.к.14,91.2,3,т.вр.к.3,91.6,3,219,10,1,1141160400000,сталь 20А,Тайлаковское,0.399999999999991,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,440294.32245277,440358.56,6551370.62550202,6548666.3
39,,33,pipe,HC0002,1750038990,275,1750032762,1750000610,1750000610,1750006714,1750045719,1750047739,275,1512127227000,задв. 14.1,89.3,3,уз.зкл к.14,89.3,3,159,8,1,1427403600000,сталь 13ХФА,Тайлаковское,0,False,,,False,,,,,,,0.85,0.143,1E-05,False,False,,,,438234.927043586,438327.488202522,6552763.3831495,6552640.11263698
40,,36,pipe,HC0002,1750037470,2710,1750026544,1750000610,1750000610,1750006714,1750036572,1750045719,2710,1498111373000,уз.зкл к.14,89.3,3,т.вр.к.14,91.2,3,159,8,1,1425502800000,сталь 13ХФА,Тайлаковское,1.90000000000001,False,,,False,,,,,,,0.85,0.143,1E-05,False,False,,,,438327.488202522,440294.32245277,6552640.11263698,6551370.62550202
41,,36,pipe,HC0002,1750037470,2710,1750026544,1750000610,1750000610,1750006714,1750036572,1750045719,2710,1498111373000,уз.зкл к.14,89.3,3,т.вр.к.14,91.2,3,159,8,1,1425502800000,сталь 13ХФА,Тайлаковское,1.90000000000001,False,,,False,,,,,,,0.85,0.143,1E-05,False,False,,,,438327.488202522,440294.32245277,6552640.11263698,6551370.62550202
42,,37,pipe,HC0002,1750036030,460,1750016964,1750000610,1750000610,1750006714,1750034343,1750018392,460,1487235032000,вр. к.1,84,3,вр.р-он к.1,85.5,3,219,10,1,1148932800000,сталь 20,Тайлаковское,1.5,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,439814.71,440087.95,6546135.23,6546492.55
43,,38,pipe,HC0002,1750041894,30,1750034983,1750000610,1750000610,1750006714,1750021882,1750021863,30,1536824784000,"уз.поворот к25, 29",80.8,3,вр.к.25,82.6,3,159,10,1,,сталь 20,Тайлаковское,1.8,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,440913.983955849,440911.85985074,6546596.95623995,6546622.87575147
44,,39,pipe,HC0002,1751043551,1240,1750017049,1750000610,1750000610,1750006714,1750021882,1750022574,1240,1550580680000,"вр. к.29,29б",81.4,3,вр.к.25,82.6,3,114,10,1,1246219200000,Ст.20са,Тайлаковское,1.19999999999999,False,,,False,,,,,,,0.85,0.094,1E-05,False,False,,,,440634.724624518,440911.85985074,6545324.9965178,6546622.87575147
