,pumpModel,debit,pressure,eff,power,max,NominalQ
23620,ЭЦН5А-800-2300,248,2959.0523482717,34.3043554662338,234298.37276632,1101,800
23621,ЭЦН5А-800-2300,474,2734.53764306417,52.6017080945756,277312.109154886,1101,800
23622,ЭЦН5А-800-2300,876,1852.20269633354,54.4980208445498,337059.812961328,1101,800
23623,ЭЦН5А-800-2300,882,1815.737340268,53.8196956977727,336305.375793716,1101,800
23624,ЭЦН5А-800-2300,73,3273.90321632433,11.0880588808656,204578.46580721,1101,800
23625,ЭЦН5А-800-2300,284,2912.60627832235,37.527101316666,240566.028312438,1101,800
23626,ЭЦН5А-800-2300,293,2901.55416661126,38.30347433649,242167.781037518,1101,800
23627,ЭЦН5А-800-2300,460,2735.08669510703,51.7537150715295,273936.943185637,1101,800
23628,ЭЦН5А-800-2300,493,2734.33903970633,53.736522064899,281938.95085093,1101,800
23629,ЭЦН5А-800-2300,1049,541.176466095092,18.9727945692886,306057.043273215,1101,800
23630,ЭЦН5А-800-2300,16,3385.39625413834,2.43025948073765,195143.033352514,1101,800
23631,ЭЦН5А-800-2300,76,3268.03516170255,11.5437325335039,205075.067515352,1101,800
23632,ЭЦН5А-800-2300,198,3036.19434865206,28.8643799180439,225806.496982733,1101,800
23633,ЭЦН5А-800-2300,950,1396.82382669735,45.8798962256527,327155.853950887,1101,800
23634,ЭЦН5А-800-2300,166,3094.01891715115,24.7054376721502,220262.192957112,1101,800
23635,ЭЦН5А-800-2300,307,2884.36199283847,39.5111657006606,244659.396387642,1101,800
23636,ЭЦН5А-800-2300,344,2838.92553358179,42.7029214488257,251244.379812972,1101,800
23637,ЭЦН5А-800-2300,630,2732.54965305561,61.9114210309721,315278.178368329,1101,800
23638,ЭЦН5А-800-2300,670,2684.59305433712,63.2351835430339,322558.992485024,1101,800
23639,ЭЦН5А-800-2300,805,2250.72734748551,60.6461220774085,338674.602908858,1101,800
23640,ЭЦН5А-800-2300,852,1989.70241664458,56.7331602208128,338174.950264034,1101,800
23641,ЭЦН5А-800-2300,942,1446.09675899896,46.8318967453897,328268.804949986,1101,800
23642,ЭЦН5А-800-2300,1002,958.277177295818,32.4102822845684,316345.376744091,1101,800
23643,ЭЦН5А-800-2300,1019,807.830165179755,27.5834306056413,312648.92880793,1101,800
23644,ЭЦН5А-800-2300,164,3097.65750614865,24.4352251304332,219910.414125782,1101,800
23645,ЭЦН5А-800-2300,262,2940.46436429403,35.589236450588,236710.183323917,1101,800
23646,ЭЦН5А-800-2300,405,2769.13774839344,47.8023640458734,262381.63246117,1101,800
23647,ЭЦН5А-800-2300,413,2761.94521843576,48.4237039181202,263928.599819894,1101,800
23648,ЭЦН5А-800-2300,440,2741.83104787383,50.4458361994859,269398.992995888,1101,800
23649,ЭЦН5А-800-2300,604,2733.1787779842,60.3662247336307,308969.447075186,1101,800
23650,ЭЦН5А-800-2300,720,2591.03124999459,64.0893848462626,330242.411003202,1101,800
23651,ЭЦН5А-800-2300,741,2522.73646691063,63.6848159827404,332714.693383484,1101,800
23652,ЭЦН5А-800-2300,758,2455.8528518218,63.0130193922735,334635.922475374,1101,800
23653,ЭЦН5А-800-2300,922,1569.29861997146,49.1611630628507,330947.661897896,1101,800
23654,ЭЦН5А-800-2300,108,3205.39298329459,16.3644958013689,210390.550057906,1101,800
23655,ЭЦН5А-800-2300,159,3106.7539786424,23.7596937761408,219030.967047458,1101,800
23656,ЭЦН5А-800-2300,260,2943.01444642599,35.4122326714021,236360.891967942,1101,800
23657,ЭЦН5А-800-2300,363,2815.59329774728,44.3419311573429,254625.857788141,1101,800
23658,ЭЦН5А-800-2300,488,2734.39130374786,53.4378868095507,280721.360930918,1101,800
23659,ЭЦН5А-800-2300,651,2715.17143760871,62.7758373402649,319529.903298054,1101,800
23660,ЭЦН5А-800-2300,657,2705.51510604926,62.9208940358761,320486.45777815,1101,800
23661,ЭЦН5А-800-2300,777,2377.69665078465,62.1937984582494,336624.129689258,1101,800
23662,ЭЦН5А-800-2300,803,2261.29190585187,60.7972168073604,338678.689317212,1101,800
23663,ЭЦН5А-800-2300,1000,975.976825780061,32.9781471879716,316780.252971874,1101,800
23664,ЭЦН5А-800-2300,44,3330.62774433497,6.68321357202855,199777.982628505,1101,800
23665,ЭЦН5А-800-2300,254,2950.88014443721,34.8682201808021,235324.759586256,1101,800
23666,ЭЦН5А-800-2300,446,2738.43152929285,50.8648878333054,270694.473025819,1101,800
23667,ЭЦН5А-800-2300,550,2733.7432296328,57.1409639758693,295819.475939061,1101,800
23668,ЭЦН5А-800-2300,724,2580.1127082449,64.0743889253045,330733.708658045,1101,800
23669,ЭЦН5А-800-2300,729,2564.89407417494,64.0096258322298,331330.252075763,1101,800
23670,ЭЦН5А-800-2300,820,2167.37076796675,59.3958743620905,338513.374153792,1101,800
23671,ЭЦН5А-800-2300,866,1910.83618161744,55.5049388393526,337742.360068281,1101,800
23672,ЭЦН5А-800-2300,1088,195.002519242644,7.74029635332483,297453.583557193,1101,800
23673,ЭЦН5А-800-2300,2,3412.78050904002,0.303782435092207,192825.558714519,1101,800
