,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount
60,pipe,HC0002,1750016103,563,1750014138,1750000610,1750000610,1750005566,1750018040,1750021860,563,1211440901000,уз.к13,86.2,3,442197.12,6552776.07,т.вр.к.13,87.4,3,159,10,1,1180296000000,сталь 20С,Тайлаковское,1.2,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
61,pipe,HC0002,1750022916,5205,1750020431,1750000610,1750000610,1750006714,1750021812,1750025398,5205,1319447288000,"уз.к.38,64",66.6,3,439181,6542530.25,Узел 2,82.6,3,219,8,1,1300136400000,сталь 20С,Тайлаковское,16,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
62,pipe,HC0002,1750031008,393,1750026840,1750000610,1750000610,1750005566,1750021871,1750034909,393,1458883407000,к.122 ,88,1,442533.76,6547346.62,уз. к22,84.5,3,159,8,1,1435870800000,сталь 13ХФА,Тайлаковское,-3.5,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
63,pipe,HC0002,1750031049,347,1750026900,1750000610,1750000610,1750005566,1750038146,1750032640,347,1459154327000,к.83 ,74,1,443613.12,6556067.31,т.вр.к.83,69.7,3,159,8,1,1427835600000,сталь 13ХФА,Тайлаковское,-4.3,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
64,pipe,HC0002,1750037450,422,1750031562,1750000610,1750000610,1750005566,1750025406,1750023893,422,1497964928000,к.37 ,66.3,1,442111.89731967,6562785.60623656,уз.вр. к37,62.4,3,89,8,1,1403208000000,сталь 20С,Тайлаковское,-3.9,True,,P,15,False,,,,15,,,0.85,0.073,1E-05,True,False
65,pipe,HC0002,1750019190,25,1750016965,1750000610,1750000610,1750006714,1750021798,1750010945,25,1269874098000,к.2 ,86.08,1,437795.000146294,6547115.73559829,уз.к2,84.5,3,159,10,1,1160164800000,сталь 20С,Тайлаковское,-1.58,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
66,pipe,HC0002,1750019249,11,1750017024,1750000610,1750000610,1750005566,1750021857,1750014130,11,1270470979000,к.18 ,88.65,1,440016.55,6554800.36,уз.к18,84.7,3,159,10,1,1185480000000,сталь 20С,Тайлаковское,-3.95,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
67,pipe,HC0002,1750019250,18,1750017025,1750000610,1750000610,1750005566,1750021860,1750014131,18,1270471639000,к.13 ,88.54,1,442206.83,6552792.71,уз.к13,86.2,3,159,10,1,1186084800000,сталь 20,Тайлаковское,-2.34,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
68,pipe,HC0002,1750019283,400,1750014135,1750000610,1750000610,1750005566,1750018040,1750021888,400,1270547647000,"т.вр. к27, к24",84,3,442940.233811724,6553264.38599961,т.вр.к.13,87.4,3,219,10,1,1185134400000,сталь 20С,Тайлаковское,3.40000000000001,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
69,pipe,HC0002,1750030989,316,1750026821,1750000610,1750000610,1750005566,1750021861,1750036626,316,1458827159000,к.117 ,70.3,1,445844.53,6555271.19,т.вр к17,70.2,3,159,8,1,1450472400000,сталь 13ХФА,Тайлаковское,-0.099999999999994,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
70,pipe,HC0002,1750019286,1300,1750017058,1750000610,1750000610,1750005566,1750021888,1750021891,1300,1270548050000,уз.вр. к24,85.1,3,444181.45,6552671.2,"т.вр. к27, к24",84,3,219,10,1,1262206800000,сталь 20,Тайлаковское,-1.09999999999999,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
71,pipe,HC0002,1750033189,1,1750028400,1750000610,1750000610,1750005566,1751062707,1751062706,1,1473666397000,ЗКЛ№328.1,59.9,3,439023.31,6568313.55,ЗКЛ 328.1,59.9,3,219,8,1,1433106000000,сталь 09Г2С,Тайлаковское,0,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
72,pipe,HC0002,1750033528,301,1750014136,1750000610,1750000610,1750005566,1750010908,1750029576,301,1474452685000,вр. к.22,84,3,441545.9415875,6547131.78155573,ДНС-1 Тайлаковского,85.7,7,273,10,1,1180036800000,сталь 20С,Тайлаковское,1.7,False,,,,True,P,4.8,,,,,0.85,0.253,1E-05,False,True
73,pipe,HC0002,1751043650,3280,1750014136,1750000610,1750000610,1750005566,1750029576,1751052619,3280,1551165276000,т.вр.к.21,89.7,3,442195.775832866,6550304.64379405,вр. к.22,84,3,273,10,1,1180036800000,сталь 20С,Тайлаковское,-5.7,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
74,pipe,HC0002,1751046438,2861,1750032342,1750000610,1750000610,1750005566,1750046999,1751062705,2861,1584964765000,ЗКЛ№481,60.2,3,439040.31,6568276.84,уз.вр.к.70,61,3,273,8,1,1507582800000,сталь 13ХФА,Тайлаковское,0.799999999999997,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
75,pipe,HC0002,1751046439,15,1751037063,1750000610,1750000610,1750005566,1751062705,1751062706,15,1584965027000,ЗКЛ№328.1,59.9,3,439023.31,6568313.55,ЗКЛ№481,60.2,3,273,8,1,1579986000000,сталь 13ХФА,Тайлаковское,0.300000000000004,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
